;;Logradouro;;;;;;;
Localidade;Logradouro;CEP;Bairro;Tipo Codificação;Numero Inicial;Número Final;Trecho;Lado;Legendas
Guarabira;Rua Doutor Waldemar Farias;58203-322;Esplanada da Estação;Simples;;;;;
Guarabira;Rua Durval Alves de Moura;58200-778;Alto da Boa Vista;Simples;;;;;
Guarabira;Rua Durval de Almeida;58203-146;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Edith Valentin da Costa;58201-153;Primavera;Simples;;;;;
Guarabira;Rua Edmar Fernandes de Melo;58203-364;Nordeste II;Simples;;;;;
Guarabira;Rua Edson Cardoso;58200-268;Juá;Simples;;;;;
Guarabira;Rua Edson Montenegro da Cunha;58201-581;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Edson Rodrigues da Silva;58200-334;Cordeiro;Simples;;;;;
Guarabira;Rua Edvardo Toscano de Oliveira;58200-282;Bela Vista;Simples;;;;;
Guarabira;Rua Eliezer Henrique de Bulhões;58201-186;Primavera;Simples;;;;;
Guarabira;Rua Elisa Barbosa da Costa;58201-132;Primavera;Simples;;;;;
Guarabira;Rua Elói Pereira;58201-374;Rosário;Simples;;;;;
Guarabira;Rua Elvira Marques Pereira;58203-380;Nordeste II;Simples;;;;;
Guarabira;Rua Emerson Lucas Claudino Oliveira;58201-580;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Emídio Brasiliano da Costa;58203-150;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Emília Barbosa dos Santos;58200-394;Novo;Simples;;;;;
Guarabira;Rua Engenheiro Normando Gomes;58201-180;Primavera;Simples;;;;;
Guarabira;Rua Epitácio Pessoa;58200-032;Centro;Simples;;;;;
Guarabira;Rua Equador;58204-648;Nações;Simples;;;;;
Guarabira;Rua Ernani Pedrosa Miranda;58201-712;Mutirão;Simples;;;;;
Guarabira;Rua Ernestina Bezerra de Carvalho;58200-290;Bela Vista;Simples;;;;;
Guarabira;Rua Estudante Paulo Roberto Barbosa Silveira;58203-026;Clóvis Bezerra;Simples;;;;;
Guarabira;Rua Estudante Pierre Marinho da Costa;58203-032;Clóvis Bezerra;Simples;;;;;
Guarabira;Rua Estudante Renato Alves de Oliveira Junior;58200-122;Centro;Simples;;;;;
Guarabira;Rua Euclides Galdino dos Santos;58200-386;Novo;Simples;;;;;
Guarabira;Rua Euclides Gilau;58200-294;Bela Vista;Simples;;;;;
Guarabira;Rua Eugenio Maia de Carvalho;58200-402;Novo;Simples;;;;;
Guarabira;Rua Eulália Cavalcanti de Macedo;58200-594;Sol Nascente;Simples;;;;;
Guarabira;Rua Eulina de Almeida;58200-418;Novo;Simples;;;;;
Guarabira;Rua Eurídice Lucena Barbosa Martins;58200-621;Sol Nascente;Simples;;;;;
